tpep_pickup_datetime,region_number,n
2016-06-01 03:00:00,1268,1
2016-06-01 03:00:00,1272,2
2016-06-01 03:00:00,1273,1
2016-06-01 03:00:00,1274,2
2016-06-01 03:00:00,1278,1
2016-06-01 03:00:00,1279,2
2016-06-01 03:00:00,1280,12
2016-06-01 03:00:00,1281,77
2016-06-01 03:00:00,1282,71
2016-06-01 03:00:00,1283,2
2016-06-01 03:00:00,1284,2
2016-06-01 03:00:00,1285,11
2016-06-01 03:00:00,1286,16
2016-06-01 03:00:00,1287,5
2016-06-01 03:00:00,1318,1
2016-06-01 03:00:00,1319,3
2016-06-01 03:00:00,1321,1
2016-06-01 03:00:00,1324,1
2016-06-01 03:00:00,1326,6
2016-06-01 03:00:00,1327,5
2016-06-01 03:00:00,1331,4
2016-06-01 03:00:00,1332,35
2016-06-01 03:00:00,1333,23
2016-06-01 03:00:00,1334,6
2016-06-01 03:00:00,1335,2
2016-06-01 03:00:00,1336,4
2016-06-01 03:00:00,1337,11
2016-06-01 03:00:00,1338,4
2016-06-01 03:00:00,1339,7
2016-06-01 03:00:00,1367,1
2016-06-01 03:00:00,1372,1
2016-06-01 03:00:00,1373,1
2016-06-01 03:00:00,1375,1
2016-06-01 03:00:00,1376,9
2016-06-01 03:00:00,1377,4
2016-06-01 03:00:00,1378,1
2016-06-01 03:00:00,1380,3
2016-06-01 03:00:00,1381,2
2016-06-01 03:00:00,1382,4
2016-06-01 03:00:00,1383,14
2016-06-01 03:00:00,1384,28
2016-06-01 03:00:00,1385,24
2016-06-01 03:00:00,1386,4
2016-06-01 03:00:00,1387,6
2016-06-01 03:00:00,1388,9
2016-06-01 03:00:00,1389,1
2016-06-01 03:00:00,1390,5
2016-06-01 03:00:00,1391,1
2016-06-01 03:00:00,1423,1
2016-06-01 03:00:00,1424,2
2016-06-01 03:00:00,1425,1
2016-06-01 03:00:00,1426,4
2016-06-01 03:00:00,1427,1
2016-06-01 03:00:00,1430,2
2016-06-01 03:00:00,1431,15
2016-06-01 03:00:00,1432,1
2016-06-01 03:00:00,1436,7
2016-06-01 03:00:00,1437,7
2016-06-01 03:00:00,1439,7
2016-06-01 03:00:00,1440,1
2016-06-01 03:00:00,1443,1
2016-06-01 03:00:00,1467,1
2016-06-01 03:00:00,1471,1
2016-06-01 03:00:00,1474,3
2016-06-01 03:00:00,1475,4
2016-06-01 03:00:00,1480,7
2016-06-01 03:00:00,1481,1
2016-06-01 03:00:00,1482,6
2016-06-01 03:00:00,1483,1
2016-06-01 03:00:00,1487,1
2016-06-01 03:00:00,1488,4
